fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,1000000,6.331010067998018e+19,-14050806913.29131,-30.428183469011664,0.0,0.0,10017126146.578102,74467810296.807,9564951711852458.0
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,1000000,6844.865546722097,-23341.52707833368,-33.18493742117147,0.0,0.0,21640.66009019828,37864.91168913661,94379.18025862054
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,1000000,1724.6325318577851,-5945.130377829749,-7.739925661385134,0.0,0.0,5468.028325735409,9561.426194948765,23797.730848223422
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,1000000,7771.147931422764,-27169.014716278383,-158.36241695454405,0.0,0.0,25435.562634784386,42392.95684873262,97440.4537073013
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,1000000,6.060218688250183e+19,-13716428310.635841,-29.732873191666126,0.0,0.0,10104792973.775826,75568201537.17252,1.004386266813899e+16
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,1000000,6844.865546722101,-23341.527078333682,-33.1849374211715,0.0,0.0,21640.660090198297,37864.91168913661,94379.18025862056
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,1000000,1724.632531857786,-5945.130377829754,-7.739925661385134,0.0,0.0,5468.02832573541,9561.426194948755,23797.730848223437
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,1000000,7771.147931422767,-27169.014716278376,-158.36241695454424,0.0,0.0,25435.562634784408,42392.95684873267,97440.4537073013
longview_ai,Longview Philanthropy AI Program,,1000000,1.7962173229816732e+20,-1893101691413.3958,-48704750604.10262,-1693621292.558407,0.0,82561952602.90022,433452606570.5634,9826860631619670.0
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,1000000,1454.6172209282565,-23009.89178521295,-5839.3961068204535,-1809.049976730787,0.0,7147.1821952528435,13423.736288045024,36069.74757806625
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,1000000,415.91783578848924,-6706.653441521298,-1602.6005333671164,-470.5144254316508,0.0,1994.3604575273246,3857.8662276497507,10685.339064164891
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,1000000,3280.519740387419,-49847.22233770522,-14117.132471517281,-4837.658034214677,0.0,17051.582408960192,30293.480088607033,74427.72451778222
