fund_varied,multiplier,fund_si,cluster_si,cross_cluster_share
baseline,1.0,0.0,0.0,
ea_awf,0.5,3.1525,0.4633,0.147
ea_awf,1.5,2.1125,0.455,0.2154
ea_awf,2.0,3.64,1.0075,0.2768
givewell,0.5,13.045,1.775,0.1361
givewell,1.5,9.2775,4.3475,0.4686
givewell,2.0,11.3125,6.3825,0.5642
leaf,0.5,5.2975,0.3025,0.0571
leaf,1.5,11.4075,1.7075,0.1497
leaf,2.0,16.505,3.72,0.2254
longview_ai,0.1,14.4075,4.345,0.3016
longview_ai,2.0,0.8,0.8,1.0
longview_ai,4.0,3.2725,2.8725,0.8778
longview_ai,10.0,6.3325,5.7209,0.9034
longview_nuclear,0.1,2.02,0.4,0.198
longview_nuclear,1.5,1.305,0.2,0.1533
longview_nuclear,2.0,2.466,0.4996,0.2026
longview_nuclear,4.0,5.9458,1.9133,0.3218
longview_nuclear,10.0,10.1112,2.9565,0.2924
navigation_fund_cagefree,0.5,2.8799,1.3254,0.4602
navigation_fund_cagefree,1.5,0.419,0.411,0.9809
navigation_fund_cagefree,2.0,0.68,0.68,1.0
navigation_fund_general,0.5,7.015,4.285,0.6108
navigation_fund_general,1.5,2.15,0.59,0.2744
navigation_fund_general,2.0,3.6775,0.98,0.2665
sentinel_bio,0.1,5.08,0.4,0.0787
sentinel_bio,0.8,0.685,0.1,0.146
sentinel_bio,2.0,2.696,1.0771,0.3995
sentinel_bio,4.0,4.4783,2.1308,0.4758
sentinel_bio,10.0,10.587,3.9873,0.3766
all_gcr,0.0001,0.0,0.0,
all_gcr,0.001,0.0,0.0,
all_gcr,0.01,9.8225,8.6525,0.8809
all_gcr,0.1,7.5675,7.5675,1.0
all_gcr,10.0,10.8798,10.8798,1.0
all_gcr,100.0,0.0,0.0,
all_gcr,1000.0,0.0,0.0,
all_gcr,10000.0,0.0,0.0,
all_aw,0.25,12.0547,12.0547,1.0
all_aw,0.5,5.785,5.6175,0.971
all_aw,2.0,1.602,1.5975,0.9972
all_aw,4.0,3.9695,3.9695,1.0
all_ghd,0.5,1.375,1.175,0.8545
all_ghd,1.5,3.9992,3.9992,1.0
all_ghd,2.0,6.205,6.205,1.0
