combo,max_spend_multiplier,scenario,sensitivity_index,most_affected_fund,most_affected_delta
gcr_low_power,2.5,gcr_low_power_spend_2_5x,15.1315,givewell,13.67
gcr_low_power,7.5,gcr_low_power_spend_7_5x,9.1390,navigation_fund_cagefree,6.50
gcr_low_power,10,gcr_low_power_spend_10x,12.6690,navigation_fund_general,-8.03
gcr_high_power,2.5,gcr_high_power_spend_2_5x,14.7315,givewell,11.07
gcr_high_power,7.5,gcr_high_power_spend_7_5x,11.6620,navigation_fund_general,-7.05
gcr_high_power,10,gcr_high_power_spend_10x,15.6390,navigation_fund_general,-9.33
aw_low_power,2.5,aw_low_power_spend_2_5x,14.6290,givewell,12.86
aw_low_power,7.5,aw_low_power_spend_7_5x,11.5643,navigation_fund_general,-9.34
aw_low_power,10,aw_low_power_spend_10x,14.5039,navigation_fund_general,-10.85
aw_high_power,2.5,aw_high_power_spend_2_5x,15.0680,givewell,13.29
aw_high_power,7.5,aw_high_power_spend_7_5x,10.2473,navigation_fund_cagefree,8.00
aw_high_power,10,aw_high_power_spend_10x,17.4740,navigation_fund_cagefree,12.84
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,14.8290,givewell,13.38
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,9.3643,navigation_fund_general,-7.14
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,13.1039,navigation_fund_general,-9.45
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,14.6835,givewell,11.05
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,11.6987,navigation_fund_cagefree,7.94
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,19.8090,navigation_fund_cagefree,12.78
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,15.0680,givewell,13.61
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,10.0473,navigation_fund_cagefree,8.00
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,17.2740,navigation_fund_cagefree,12.84
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,14.1290,givewell,10.62
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,11.8697,navigation_fund_general,-9.44
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,14.7039,navigation_fund_general,-11.05
